rank_segment_sp,skater,nation,tss_sp,TES_sp,PCS_sp,co_sp,pr_sp,sk_sp,deduction_sp,qual,start_no_sp,season,event,discipline,segment_sp,rank_segment_fs,tss_fs,TES_fs,PCS_fs,co_fs,pr_fs,sk_fs,deduction_fs,start_no_fs,segment_fs,TES_total,PCS_total,TSS_total,rank_overall,is_medalist
1,Kaori SAKAMOTO,JPN,79.24,42.81,36.43,9.04,9.21,9.14,0.0,Q,#34,2022–2023,World Championships,Women,SP,2,145.37,71.46,73.91,9.25,9.07,9.36,0.0,#24,FS,114.27,110.34,224.61,1,1
2,Haein LEE,KOR,73.62,39.51,34.11,8.5,8.57,8.57,0.0,Q,#32,2022–2023,World Championships,Women,SP,1,147.32,75.53,71.79,9.0,8.96,8.93,0.0,#23,FS,115.03999999999999,105.9,220.94,2,1
5,Loena HENDRICKX,BEL,71.94,37.88,35.06,8.93,8.75,8.68,1.0,Q,#35,2022–2023,World Championships,Women,SP,4,138.48,69.2,70.28,8.82,8.79,8.71,1.0,#20,FS,107.08000000000001,105.34,210.42,3,1
4,Isabeau LEVITO,USA,73.03,39.1,33.93,8.54,8.61,8.36,0.0,Q,#28,2022–2023,World Championships,Women,SP,5,134.62,66.78,68.84,8.71,8.57,8.5,1.0,#21,FS,105.88,102.77000000000001,207.65,4,0
3,Mai MIHARA,JPN,73.46,39.08,34.38,8.57,8.57,8.71,0.0,Q,#31,2022–2023,World Championships,Women,SP,6,132.24,63.75,68.49,8.61,8.43,8.61,0.0,#22,FS,102.83,102.87,205.7,5,0
12,Chaeyeon KIM,KOR,64.06,34.61,29.45,7.39,7.25,7.5,0.0,Q,#23,2022–2023,World Championships,Women,SP,3,139.45,76.78,62.67,7.82,7.79,7.86,0.0,#13,FS,111.39,92.12,203.51,6,0
7,Nicole SCHOTT,GER,67.29,36.76,30.53,7.68,7.82,7.46,0.0,Q,#26,2022–2023,World Championships,Women,SP,9,130.47,65.87,65.6,8.18,8.39,8.0,1.0,#18,FS,102.63,96.13,197.76,7,0
13,Kimmy REPOND,SUI,62.75,34.49,28.26,7.18,7.0,7.07,0.0,Q,#22,2022–2023,World Championships,Women,SP,8,131.34,69.26,62.08,7.75,7.89,7.61,0.0,#12,FS,103.75,90.34,194.09,8,0
6,Niina PETROKINA,EST,68.0,36.7,31.3,7.79,7.89,7.86,0.0,Q,#29,2022–2023,World Championships,Women,SP,12,125.49,61.52,63.97,8.11,7.96,7.89,0.0,#19,FS,98.22,95.27,193.49,9,0
15,Rinka WATANABE,JPN,60.9,30.17,31.73,8.07,7.79,8.0,1.0,Q,#25,2022–2023,World Championships,Women,SP,7,131.91,68.76,64.15,7.96,7.96,8.11,1.0,#10,FS,98.93,95.88000000000001,192.81,10,0
14,Nina PINZARRONE,BEL,62.04,34.16,27.88,7.04,7.07,6.86,0.0,Q,#19,2022–2023,World Championships,Women,SP,10,129.74,70.23,59.51,7.43,7.57,7.29,0.0,#11,FS,104.39,87.39,191.78,11,0
10,Amber GLENN,USA,65.52,34.7,30.82,7.68,7.71,7.79,0.0,Q,#21,2022–2023,World Championships,Women,SP,14,122.81,60.54,62.27,7.79,7.71,7.82,0.0,#15,FS,95.24000000000001,93.09,188.32999999999998,12,0
16,Madeline SCHIZAS,CAN,60.02,31.19,29.83,7.46,7.61,7.36,1.0,Q,#24,2022–2023,World Championships,Women,SP,11,127.47,67.18,60.29,7.61,7.61,7.36,0.0,#9,FS,98.37,90.12,187.49,13,0
11,Anastasiia GUBANOVA,GEO,65.4,32.49,32.91,8.32,8.21,8.21,0.0,Q,#30,2022–2023,World Championships,Women,SP,15,119.52,58.63,61.89,7.79,7.64,7.75,1.0,#14,FS,91.12,94.8,184.92000000000002,14,0
8,Bradie TENNELL,USA,66.45,34.24,32.21,8.07,8.29,7.86,0.0,Q,#16,2022–2023,World Championships,Women,SP,16,117.69,52.84,64.85,8.11,8.11,8.07,0.0,#17,FS,87.08000000000001,97.06,184.14,15,0
9,Ekaterina KURAKOVA,POL,65.69,34.66,31.03,7.86,7.93,7.54,0.0,Q,#27,2022–2023,World Championships,Women,SP,17,115.74,57.67,58.07,7.21,7.36,7.18,0.0,#16,FS,92.33,89.1,181.43,16,0
23,Lara Naki GUTMANN,ITA,55.22,28.31,26.91,6.89,6.71,6.64,0.0,Q,#18,2022–2023,World Championships,Women,SP,13,123.21,67.33,55.88,7.21,6.93,6.79,0.0,#2,FS,95.64,82.79,178.43,17,0
17,Yelim KIM,KOR,60.02,28.43,32.59,8.25,7.96,8.29,1.0,Q,#33,2022–2023,World Championships,Women,SP,19,114.28,53.54,60.74,7.64,7.32,7.79,0.0,#8,FS,81.97,93.33000000000001,174.3,18,0
20,Olga MIKUTINA,AUT,57.05,31.4,26.65,6.79,6.71,6.54,1.0,Q,#10,2022–2023,World Championships,Women,SP,18,115.26,61.04,55.22,7.0,6.89,6.79,1.0,#5,FS,92.44,81.87,172.31,19,0
22,Julia SAUTER,ROU,56.02,29.7,26.32,6.64,6.61,6.54,0.0,Q,#20,2022–2023,World Championships,Women,SP,20,109.6,57.27,52.33,6.46,6.57,6.57,0.0,#3,FS,86.97,78.65,165.62,20,0
21,Janna JYRKINEN,FIN,56.06,30.33,25.73,6.46,6.46,6.43,0.0,Q,#14,2022–2023,World Championships,Women,SP,21,104.85,55.34,49.51,6.25,6.04,6.25,0.0,#4,FS,85.67,75.24,160.91,21,0
19,Lindsay VAN ZUNDERT,NED,57.56,31.2,26.36,6.64,6.86,6.32,0.0,Q,#17,2022–2023,World Championships,Women,SP,22,101.99,50.49,51.5,6.54,6.43,6.32,0.0,#6,FS,81.69,77.86,159.55,22,0
18,Sofja STEPCENKO,LAT,58.87,34.84,24.03,6.07,6.11,5.89,0.0,Q,#4,2022–2023,World Championships,Women,SP,24,99.51,52.9,47.61,5.86,5.93,6.04,1.0,#7,FS,87.74000000000001,71.64,158.38,23,0
24,Alexandra FEIGIN,BUL,54.65,30.18,24.47,6.32,6.04,6.04,0.0,Q,#15,2022–2023,World Championships,Women,SP,23,101.09,55.29,45.8,5.68,5.61,5.86,0.0,#1,FS,85.47,70.27,155.74,24,0
