rank_segment,skater,nation,tss,TES,PCS,co,pr,sk,deduction,start_no,season,event,discipline,segment
1,Haein LEE,KOR,147.32,75.53,71.79,9.0,8.96,8.93,0.0,#23,2022–2023,World Championships,Women,FS
2,Kaori SAKAMOTO,JPN,145.37,71.46,73.91,9.25,9.07,9.36,0.0,#24,2022–2023,World Championships,Women,FS
3,Chaeyeon KIM,KOR,139.45,76.78,62.67,7.82,7.79,7.86,0.0,#13,2022–2023,World Championships,Women,FS
4,Loena HENDRICKX,BEL,138.48,69.2,70.28,8.82,8.79,8.71,1.0,#20,2022–2023,World Championships,Women,FS
5,Isabeau LEVITO,USA,134.62,66.78,68.84,8.71,8.57,8.5,1.0,#21,2022–2023,World Championships,Women,FS
6,Mai MIHARA,JPN,132.24,63.75,68.49,8.61,8.43,8.61,0.0,#22,2022–2023,World Championships,Women,FS
7,Rinka WATANABE,JPN,131.91,68.76,64.15,7.96,7.96,8.11,1.0,#10,2022–2023,World Championships,Women,FS
8,Kimmy REPOND,SUI,131.34,69.26,62.08,7.75,7.89,7.61,0.0,#12,2022–2023,World Championships,Women,FS
9,Nicole SCHOTT,GER,130.47,65.87,65.6,8.18,8.39,8.0,1.0,#18,2022–2023,World Championships,Women,FS
10,Nina PINZARRONE,BEL,129.74,70.23,59.51,7.43,7.57,7.29,0.0,#11,2022–2023,World Championships,Women,FS
11,Madeline SCHIZAS,CAN,127.47,67.18,60.29,7.61,7.61,7.36,0.0,#9,2022–2023,World Championships,Women,FS
12,Niina PETROKINA,EST,125.49,61.52,63.97,8.11,7.96,7.89,0.0,#19,2022–2023,World Championships,Women,FS
13,Lara Naki GUTMANN,ITA,123.21,67.33,55.88,7.21,6.93,6.79,0.0,#2,2022–2023,World Championships,Women,FS
14,Amber GLENN,USA,122.81,60.54,62.27,7.79,7.71,7.82,0.0,#15,2022–2023,World Championships,Women,FS
15,Anastasiia GUBANOVA,GEO,119.52,58.63,61.89,7.79,7.64,7.75,1.0,#14,2022–2023,World Championships,Women,FS
16,Bradie TENNELL,USA,117.69,52.84,64.85,8.11,8.11,8.07,0.0,#17,2022–2023,World Championships,Women,FS
17,Ekaterina KURAKOVA,POL,115.74,57.67,58.07,7.21,7.36,7.18,0.0,#16,2022–2023,World Championships,Women,FS
18,Olga MIKUTINA,AUT,115.26,61.04,55.22,7.0,6.89,6.79,1.0,#5,2022–2023,World Championships,Women,FS
19,Yelim KIM,KOR,114.28,53.54,60.74,7.64,7.32,7.79,0.0,#8,2022–2023,World Championships,Women,FS
20,Julia SAUTER,ROU,109.6,57.27,52.33,6.46,6.57,6.57,0.0,#3,2022–2023,World Championships,Women,FS
21,Janna JYRKINEN,FIN,104.85,55.34,49.51,6.25,6.04,6.25,0.0,#4,2022–2023,World Championships,Women,FS
22,Lindsay VAN ZUNDERT,NED,101.99,50.49,51.5,6.54,6.43,6.32,0.0,#6,2022–2023,World Championships,Women,FS
23,Alexandra FEIGIN,BUL,101.09,55.29,45.8,5.68,5.61,5.86,0.0,#1,2022–2023,World Championships,Women,FS
24,Sofja STEPCENKO,LAT,99.51,52.9,47.61,5.86,5.93,6.04,1.0,#7,2022–2023,World Championships,Women,FS
